column_name,quickstats_section,quickstats_topic,quickstats_row_label,measure_type,source,initial_field_role,initial_modelling_use,notes
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_aboriginal_pct,Cultural diversity,,Australian Aboriginal,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_count,Cultural diversity,,Australian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_pct,Cultural diversity,,Australian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_south_sea_islander_count,Cultural diversity,,Australian South Sea Islander,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_south_sea_islander_pct,Cultural diversity,,Australian South Sea Islander,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_bangladeshi_count,Cultural diversity,,Bangladeshi,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_bangladeshi_pct,Cultural diversity,,Bangladeshi,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_bhutanese_count,Cultural diversity,,Bhutanese,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_bhutanese_pct,Cultural diversity,,Bhutanese,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_chaldean_count,Cultural diversity,,Chaldean,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_chaldean_pct,Cultural diversity,,Chaldean,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_chinese_count,Cultural diversity,,Chinese,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_chinese_pct,Cultural diversity,,Chinese,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_colombian_count,Cultural diversity,,Colombian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_colombian_pct,Cultural diversity,,Colombian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_croatian_count,Cultural diversity,,Croatian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_croatian_pct,Cultural diversity,,Croatian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_dutch_count,Cultural diversity,,Dutch,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_dutch_pct,Cultural diversity,,Dutch,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_english_count,Cultural diversity,,English,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_english_pct,Cultural diversity,,English,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_filipino_count,Cultural diversity,,Filipino,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_filipino_pct,Cultural diversity,,Filipino,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_german_count,Cultural diversity,,German,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_german_pct,Cultural diversity,,German,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_greek_count,Cultural diversity,,Greek,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_greek_pct,Cultural diversity,,Greek,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_hazara_count,Cultural diversity,,Hazara,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_hazara_pct,Cultural diversity,,Hazara,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_indian_count,Cultural diversity,,Indian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_indian_pct,Cultural diversity,,Indian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_indonesian_count,Cultural diversity,,Indonesian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_indonesian_pct,Cultural diversity,,Indonesian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_iraqi_count,Cultural diversity,,Iraqi,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_iraqi_pct,Cultural diversity,,Iraqi,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_irish_count,Cultural diversity,,Irish,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_irish_pct,Cultural diversity,,Irish,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_italian_count,Cultural diversity,,Italian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_italian_pct,Cultural diversity,,Italian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_javanese_count,Cultural diversity,,Javanese,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_javanese_pct,Cultural diversity,,Javanese,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_jewish_count,Cultural diversity,,Jewish,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_jewish_pct,Cultural diversity,,Jewish,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_karen_count,Cultural diversity,,Karen,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_karen_pct,Cultural diversity,,Karen,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
