request_timestamp_utc,sa3_code_2021,sa3_name_2021,state_name_2021,year_requested,status,records_retrieved,raw_file,error
2026-06-18T02:32:27.119801+00:00,30502,Brisbane Inner - East,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30502_brisbane_inner_east_2021_22.csv,
2026-06-18T02:32:27.148233+00:00,30503,Brisbane Inner - North,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30503_brisbane_inner_north_2021_22.csv,
2026-06-18T02:32:27.176606+00:00,30504,Brisbane Inner - West,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30504_brisbane_inner_west_2021_22.csv,
2026-06-18T02:32:27.204045+00:00,30601,Cairns - North,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30601_cairns_north_2021_22.csv,
2026-06-18T02:32:27.231454+00:00,30602,Cairns - South,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30602_cairns_south_2021_22.csv,
2026-06-18T02:32:27.259266+00:00,30603,Innisfail - Cassowary Coast,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30603_innisfail_cassowary_coast_2021_22.csv,
2026-06-18T02:32:27.281874+00:00,30604,Port Douglas - Daintree,Queensland,2021-22,cached,150,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30604_port_douglas_daintree_2021_22.csv,
2026-06-18T02:32:27.313443+00:00,30605,Tablelands (East) - Kuranda,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30605_tablelands_east_kuranda_2021_22.csv,
2026-06-18T02:32:27.341832+00:00,30701,Darling Downs (West) - Maranoa,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30701_darling_downs_west_maranoa_2021_22.csv,
2026-06-18T02:32:27.370750+00:00,30702,Darling Downs - East,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30702_darling_downs_east_2021_22.csv,
