column_name,source_table,initial_field_role,initial_modelling_use,missing_count,missing_pct,dtype,notes
nsmhw__any_12_month_mental_disorder_modelled_sa2__unnamed,sa2_nsmhw_modelled_estimates_2020_22_wide,primary_outcome_source_related,manual_review_required,2412,97.573,string,Same workbook as primary outcome; classify exact measure before modelling.
nsmhw__any_12_month_mental_disorder_modelled_sa2__proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,primary_outcome_candidate,outcome,130,5.259,float64,Likely primary outcome candidate: any 12-month mental disorder SA2 modelled estimate.
nsmhw__any_12_month_mental_disorder_modelled_sa2__95_confidence_interval_of_proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,primary_outcome_candidate,outcome,130,5.259,float64,Likely primary outcome candidate: any 12-month mental disorder SA2 modelled estimate.
nsmhw__any_12_month_mental_disorder_modelled_sa2__unnamed_2,sa2_nsmhw_modelled_estimates_2020_22_wide,primary_outcome_source_related,manual_review_required,130,5.259,float64,Same workbook as primary outcome; classify exact measure before modelling.
nsmhw__any_12_month_mental_disorder_modelled_sa2__population,sa2_nsmhw_modelled_estimates_2020_22_wide,primary_outcome_source_related,manual_review_required,130,5.259,float64,Same workbook as primary outcome; classify exact measure before modelling.
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__persons_with_mild_severity,sa2_nsmhw_modelled_estimates_2020_22_wide,severity_related_outcome,sensitivity_or_related_outcome,130,5.259,float64,Use for severe-outcome sensitivity or descriptive analysis; do not use as predictor of any-disorder outcome.
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__relative_root_mean_square_error_a,sa2_nsmhw_modelled_estimates_2020_22_wide,severity_related_outcome,sensitivity_or_related_outcome,130,5.259,float64,Use for severe-outcome sensitivity or descriptive analysis; do not use as predictor of any-disorder outcome.
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__unnamed,sa2_nsmhw_modelled_estimates_2020_22_wide,severity_related_outcome,sensitivity_or_related_outcome,157,6.351,string,Use for severe-outcome sensitivity or descriptive analysis; do not use as predictor of any-disorder outcome.
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,severity_related_outcome,sensitivity_or_related_outcome,130,5.259,float64,Use for severe-outcome sensitivity or descriptive analysis; do not use as predictor of any-disorder outcome.
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__95_confidence_interval_of_proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,severity_related_outcome,sensitivity_or_related_outcome,130,5.259,float64,Use for severe-outcome sensitivity or descriptive analysis; do not use as predictor of any-disorder outcome.
