archive_path,archive_name,member_name,member_extension,member_file_size,member_compress_size,member_is_dir,member_is_candidate_data,detected_geographies
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G09C_AUST_SA2.csv,.csv,1175134,290032,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G09D_AUST_SA2.csv,.csv,1081844,209416,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G09E_AUST_SA2.csv,.csv,1068695,193234,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G09F_AUST_SA2.csv,.csv,1216867,339430,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G09G_AUST_SA2.csv,.csv,1105681,246931,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G09H_AUST_SA2.csv,.csv,1138117,322612,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G10A_AUST_SA2.csv,.csv,1074595,194541,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G10B_AUST_SA2.csv,.csv,1075945,195838,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G10C_AUST_SA2.csv,.csv,1131662,306483,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G11A_AUST_SA2.csv,.csv,1154363,264410,0,1,CENSUS
