column_name,normalised_column_name,matched_patterns,non_missing_count,numeric_parse_rate,min_numeric,max_numeric,source_hint
census_qs_housing_unnamed_unnamed_household_income_occupied_private_d_more_than_3_000_total_household_weekly_income_pct,census_qs_housing_unnamed_unnamed_household_income_occupied_private_d_more_than_3_000_total_household_weekly_income_pct,housing,2341,0.9470064724919094,0.0,63.1,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_median_mortgage_repayments_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_median_mortgage_repayments_count,housing; mortgage,2341,0.9470064724919094,0.0,4333.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repa,housing; mortgage; owner,2341,0.9470064724919094,0.0,3559.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_pct,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repa,housing; mortgage; owner,2341,0.9470064724919094,0.0,100.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repay,housing; mortgage; owner,2341,0.9470064724919094,0.0,1102.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_pct,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repay,housing; mortgage; owner,2341,0.9470064724919094,0.0,54.5,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_unable_to_determine_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_unable_to_determine_count,housing; mortgage,2341,0.9470064724919094,0.0,913.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_unable_to_determine_pct,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_unable_to_determine_pct,housing; mortgage,2341,0.9470064724919094,0.0,100.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_median_rent_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_median_rent_count,housing; rent,2341,0.9470064724919094,0.0,975.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_tha,housing; rent,2341,0.9470064724919094,0.0,4485.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_pct,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_tha,housing; rent,2341,0.9470064724919094,0.0,100.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than,housing; rent,2341,0.9470064724919094,0.0,3534.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_pct,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than,housing; rent,2341,0.9470064724919094,0.0,55.8,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_unable_to_determine_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_unable_to_determine_count,housing; rent,2341,0.9470064724919094,0.0,540.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_unable_to_determine_pct,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_unable_to_determine_pct,housing; rent,2341,0.9470064724919094,0.0,42.1,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_other_tenure_type_count,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_other_tenure_type_count,housing; tenure,2341,0.9470064724919094,0.0,560.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_other_tenure_type_pct,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_other_tenure_type_pct,housing; tenure,2341,0.9470064724919094,0.0,30.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_outright_count,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_outright_count,housing; tenure; owned,2341,0.9470064724919094,0.0,5242.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_outright_pct,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_outright_pct,housing; tenure; owned,2341,0.9470064724919094,0.0,75.9,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_with_a_mortgage_count,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_with_a_mortgage_count,housing; mortgage; tenure; owned,2341,0.9470064724919094,0.0,5031.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_with_a_mortgage_pct,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_with_a_mortgage_pct,housing; mortgage; tenure; owned,2341,0.9470064724919094,0.0,85.4,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_rented_count,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_rented_count,housing; rent; tenure,2341,0.9470064724919094,0.0,6784.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_rented_pct,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_rented_pct,housing; rent; tenure,2341,0.9470064724919094,0.0,95.1,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_tenure_type_not_stated_count,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_tenure_type_not_stated_count,housing; tenure,2341,0.9470064724919094,0.0,399.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_tenure_type_not_stated_pct,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_tenure_type_not_stated_pct,housing; tenure,2341,0.9470064724919094,0.0,23.3,existing_master_quickstats_or_prior_layer
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_other_warehousing_and_storage_services_count,census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_other_warehousing_and_storage_services_cou,housing,4,0.0016181229773462784,103.0,168.0,existing_master_quickstats_or_prior_layer
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_other_warehousing_and_storage_services_pct,census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_other_warehousing_and_storage_services_pct,housing,4,0.0016181229773462784,2.1,2.6,existing_master_quickstats_or_prior_layer
