native_geography,relative_path,file_size_mb,estimated_rows
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__age_distribution_persons__v20.csv,0.441324,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__age_distribution_persons_broad__v20.csv,0.253151,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__aged_care_places__v20.csv,0.101016,662
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__avoidable_mortality_by_cause__v20.csv,0.912313,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__avoidable_mortality_by_sex__v20.csv,0.292901,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__birthplace_top_ten_nes__v20.csv,0.285054,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__cancer_incidence_females__v20.csv,0.709633,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__cancer_incidence_males__v20.csv,0.783607,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__cancer_incidence_persons__v20.csv,0.580922,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__census_condition_type_adults__v20.csv,0.40679,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__census_condition_type_children__v20.csv,0.173992,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__census_condition_type_total__v20.csv,0.406291,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__census_disability__v20.csv,0.232217,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__census_health_condition_adults__v20.csv,0.239829,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__census_health_condition_child__v20.csv,0.20146,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__census_health_condition_total__v20.csv,0.23989,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__child_care__v20.csv,0.14639,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__child_youth_health__v20.csv,0.219679,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__chsp__v20.csv,0.589881,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__cmhcs_by_prinicipal_diag__v20.csv,0.337355,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__cmhcs_by_sex__v20.csv,0.182656,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__early_childhood_development__v20.csv,0.390286,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__education__v20.csv,0.487512,665
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__estimates_risk_factors_adults__v20.csv,1.694019,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__estimates_risk_factors_children__v20.csv,0.496272,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__estimates_self_assessed_health__v20.csv,0.163708,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__families__v20.csv,0.160398,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__health_workforce__v20.csv,0.321373,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__homelessness__v20.csv,0.10805,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__hosp_type_sex__v20.csv,0.305455,664
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__income_support__v20.csv,0.39215,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__labour_force__v20.csv,0.163476,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__learning_earning__v20.csv,0.103927,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__median_age_death__v20.csv,0.101196,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__migrants_family__v20.csv,0.149921,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__migrants_humanitarian__v20.csv,0.142623,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__migrants_skilled__v20.csv,0.150623,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__migrants_total__v20.csv,0.15007,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__mothers_babies__v20.csv,0.159457,667
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__pop_projections_females__v20.csv,0.401679,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__pop_projections_males__v20.csv,0.400259,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__pop_projections_persons__v20.csv,0.40836,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__population_proportion__v20.csv,0.108735,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__population_proportion_age__v20.csv,0.21341,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__premature_mortality_by_cause__v20.csv,1.117015,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__premature_mortality_by_sex__v20.csv,0.300577,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__private_health_insurance__v20.csv,0.123485,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__screening__v20.csv,0.349512,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__total_fertility_rate__v20.csv,0.094313,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__volunteering__v20.csv,0.10337,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__years_life_lost__v20.csv,0.306609,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__years_life_lost_by_cause__v20.csv,0.980377,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__years_life_lost_females_age__v20.csv,0.342315,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__years_life_lost_males_age__v20.csv,0.345453,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__years_life_lost_persons_age__v20.csv,0.377805,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__aboriginal_females__v20.csv,0.404741,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__aboriginal_males__v20.csv,0.402955,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__aboriginal_persons__v20.csv,0.411988,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__admiss_principal_diag_females__v20.csv,1.344802,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__admiss_principal_diag_males__v20.csv,1.286876,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__admiss_principal_diag_persons__v20.csv,1.398964,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__admiss_principal_ext_females__v20.csv,0.486544,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__admiss_principal_ext_males__v20.csv,0.484758,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__admiss_principal_ext_persons__v20.csv,0.572561,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__admissions_procedures__v20.csv,0.997119,1290
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__age_distribution_females__v20.csv,0.844334,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__age_distribution_females_broad__v20.csv,0.49527,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__age_distribution_males__v20.csv,0.841491,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__age_distribution_males_broad__v20.csv,0.492409,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__age_distribution_persons__v20.csv,0.858854,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__age_distribution_persons_broad__v20.csv,0.50052,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__aged_care_places__v20.csv,0.210009,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__avoidable_mortality_by_cause__v20.csv,1.920462,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__avoidable_mortality_by_sex__v20.csv,0.617094,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__birthplace_top_ten_nes__v20.csv,0.595078,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__cancer_incidence_females__v20.csv,1.405184,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__cancer_incidence_males__v20.csv,1.569089,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__cancer_incidence_persons__v20.csv,1.224066,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__census_condition_type_adults__v20.csv,0.814576,1288
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__census_condition_type_children__v20.csv,0.361035,1288
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__census_condition_type_total__v20.csv,0.813643,1288
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__census_disability__v20.csv,0.467435,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__census_health_condition_adults__v20.csv,0.482049,1288
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__census_health_condition_child__v20.csv,0.414848,1288
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__census_health_condition_total__v20.csv,0.481624,1288
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__child_care__v20.csv,0.298262,1290
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__child_youth_health__v20.csv,0.450174,1289
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_phas__chsp__v20.csv,1.053318,1289
